"","RVSN_ADDR_CD","year","misc_n","misc_cost","misc_case","deliv_n","deliv_cost","deliv_case","N46_n","N97_n","O00_n","O01_n","O02_n","O03_n","O05_n","O06_n","O08_n","O80_n","O81_n","O82_n","O83_n","O84_n","Z32_n","O04_n","NA_n","O07_n","N46_cost","N97_cost","O00_cost","O01_cost","O02_cost","O03_cost","O05_cost","O06_cost","O08_cost","O80_cost","O81_cost","O82_cost","O83_cost","O84_cost","Z32_cost","O04_cost","NA_cost","O07_cost","N46_case","N97_case","O00_case","O01_case","O02_case","O03_case","O05_case","O06_case","O08_case","O80_case","O81_case","O82_case","O83_case","O84_case","Z32_case","O04_case","NA_case","O07_case"
"831",43114,2019,198,102480680,586,281,553345910,324,474,731,46,6,93,38,5,4,1,91,7,163,7,13,15,5,0,0,38142130,897451990,42318610,4610680,35287540,9911250,467970,5362090,22420,144567480,12897970,355307160,10778980,29794320,1463650,4500120,0,0,782,7440,160,15,332,51,10,5,2,100,9,195,7,13,21,11,0,0
"832",43114,2020,188,96362880,563,270,597647150,327,450,734,38,3,92,33,4,10,5,75,6,156,10,23,7,1,0,2,52215550,1270995380,43974880,2250700,38139140,4491350,155350,1670150,347900,130460950,11581740,372228830,20153450,63222180,2922170,5065720,0,267690,760,8062,167,21,286,61,5,13,5,91,6,195,11,24,12,3,0,2
"833",43114,2021,178,105744070,580,328,757305870,373,488,726,31,2,100,30,7,6,2,78,7,209,9,25,13,0,0,0,52537090,1248160130,34244530,636370,47054300,9081650,337550,2338870,12050800,149912970,15359160,508717100,13974620,69342020,3689590,0,0,0,837,7929,125,2,374,58,10,8,3,87,7,243,9,27,29,0,0,0
"834",43114,2022,120,62503110,360,330,822070900,395,481,661,25,3,70,13,6,0,1,69,7,227,10,17,11,1,0,1,54500490,1285773860,26404760,974180,31239930,2113700,665970,0,345170,144506940,23976320,584686830,21323490,47577320,2303810,704510,0,54890,836,7059,94,3,219,29,9,0,3,93,7,265,12,18,17,1,0,2
"835",43114,2023,112,71498710,345,313,823171410,379,370,641,23,1,61,12,3,4,5,58,6,229,4,16,9,0,0,3,44899790,1364450710,35287690,59550,29714550,1829230,125670,113800,4043440,127007710,13160080,626785250,10613610,45604760,1152380,0,0,324780,588,6985,97,2,207,23,3,4,6,64,6,287,4,18,15,0,0,3
"836",43130,2018,104,46277350,266,90,174331700,102,247,478,22,0,61,12,2,3,4,23,2,59,2,4,43,0,0,0,28233160,426417260,15834960,0,25188750,1879430,753690,1030830,1589690,37279550,2821910,118920420,3339660,11970160,6828380,0,0,0,494,3685,58,0,175,17,5,4,7,27,2,65,2,6,81,0,0,0
"837",43130,2019,103,42996890,246,157,329111600,188,248,489,31,1,52,12,1,1,5,54,6,92,3,2,17,0,0,0,36820240,548184300,12817410,1775960,23500710,3898460,654150,45310,304890,102439660,10415910,206058640,6059680,4137710,1510570,0,0,0,467,4748,67,1,143,21,2,3,9,61,7,113,5,2,19,0,0,0
"838",43130,2020,110,58202740,301,159,359204710,225,261,482,26,1,69,10,1,0,3,39,2,104,3,11,32,0,0,0,46028440,619817360,18695090,1116700,31730120,4692570,223300,0,1744960,73099660,3926430,244355810,4489620,33333190,4528600,0,0,0,537,4533,74,13,184,22,3,0,5,46,2,155,3,19,62,0,0,0
"839",43130,2021,109,83101480,281,212,504627460,259,288,526,20,1,69,12,1,1,4,40,1,157,4,10,11,1,0,0,60435670,897267410,40457400,1431250,37704820,3039500,86480,46060,243900,76196870,2723030,395611990,8328710,21766860,1933050,92070,0,0,636,5025,51,9,188,25,1,1,5,41,1,203,4,10,16,1,0,0
"840",43130,2022,112,53114510,261,179,526241860,224,304,521,28,1,71,9,0,2,0,36,0,132,2,9,18,0,0,1,59391670,1088598670,15113890,125250,35208410,1467100,0,566740,0,97291150,0,382259020,5332930,41358760,5485610,0,0,633120,632,5544,71,1,163,22,0,3,0,41,0,170,2,11,33,0,0,1
